country,gdp_2000,gdp_2001,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014
Argentina,552151219031.107,527807756978.584,470305820970.429,511866938234.463,558086338624.299,607486243380.051,656371581729.116,715495242254.303,744524552076.755,700459679762.513,771384011261.412,817697534663.575,809304519912.401,828770913988.898,807947089029.563,37057452,37471509,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515
Bolivia,36796058242.8318,37415630617.0473,38345620378.9909,39385300793.7153,41028965313.8806,42843034250.7969,44898218532.8874,46947545075.714,49834113567.8222,51507045387.6761,53632598252.0909,56423688392.2173,59313864685.5243,63344841872.5948,66803831147.3381,8339512,8496375,8653345,8810420,8967741,9125409,9283334,9441444,9599855,9758748,9918242,10078343,10239004,10400264,10562159
Brasil,1993190057788.43,2020752528283.76,2082466643790.09,2106204407606.59,2227614698949.55,2298819603353.55,2389790718626.23,2534620486107.17,2663654413641.67,2660304198210.8,2860938983936.98,2974955344832.28,3032464441306.37,3123750887614.6,3139626109942.67,175287587,177750670,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133
Chile,218492826314.252,225709747741.849,232722483092.65,242243270848.998,259707895654.328,274622479869.477,291970866200.755,306292984643.762,317103689119.271,312143428138.889,330385643496.483,350575241993.673,369221034976.868,384156041711.157,390943079331.741,15262754,15444969,15623635,15799542,15973778,16147064,16319792,16491687,16661942,16829442,16993354,17153357,17309746,17462982,17613798
Colombia,335685091122.417,341317545585.573,349864070252.355,363572695817.874,382962107917.078,400986433731.574,427842561312.075,457366383419.6,473588276652.646,481409820261.487,500530458895.309,533512971123.156,555087935875.08,582143285892.64,607720381850.595,40403958,40988909,41572491,42152151,42724163,43285634,43835722,44374572,44901544,45416181,45918097,46406646,46881475,47342981,47791911
Costa Rica,38776659193.121,40130146628.8813,41451132013.4104,43215075093.3436,45089129283.8321,46834472245.1148,50224226207.25,54326488947.5586,56852452417.6421,56300671899.9031,59088604515.6545,61633610781.5746,64590125733.697,66055693384.5871,68377774647.7946,3925443,3996798,4063204,4125971,4187038,4247841,4308794,4369469,4429508,4488263,4545280,4600474,4654122,4706401,4757575
Ecuador,93295216341.4635,97041606943.7538,101017184846.402,103767758879.014,112288151266.025,118229663496.819,123435937981.532,126139263988.069,134158101737.554,134918096104.018,139674361950.133,150664137576.237,159164551066.427,167037643517.848,173366480258.435,12628596,12852755,13072060,13289601,13509647,13735233,13967480,14205453,14447562,14691275,14934690,15177355,15419666,15661547,15903112
El Salvador,33188717369.4213,33479888256.9236,34009159176.8282,34540460832.0961,34848142439.3704,35791644663.4988,37346038345.103,38040890946.1447,38850106314.9573,38040705445.3585,38841923775.6278,40322505966.1883,41457211401.0187,42441900740.313,43281934918.4664,5867626,5905962,5940303,5971535,6000775,6028961,6056478,6083475,6110301,6137276,6164626,6192560,6221246,6250777,6281189
Guatemala,70728399242.464,72378191607.1097,75176785982.0769,77079352524.891,79508956793.9798,82101037074.5126,86517889594.4109,91972026249.6866,94989768488.7946,95489105564.6527,98229550167.3647,102317810920.593,105356675905.918,109251899051.912,113812511011.415,11650743,11924946,12208848,12500478,12796925,13096028,13397008,13700286,14006366,14316208,14630417,14948919,15271056,15596214,15923559
Honduras,21716145048.1263,22307517649.2782,23145017230.2788,24197429970.8015,25705487115.2829,27260823118.7326,29051107767.1585,30848885361.3642,32154286828.2783,31372414225.1852,32542963029.3315,33791210423.4101,35186343988.2885,36168591807.1898,37274656482.8466,6524283,6693061,6863157,7033821,7204153,7373430,7541406,7707972,7872658,8035021,8194778,8351600,8505646,8657785,8809216
México,1595250525621.06,1588799489999.43,1588166441081.06,1611137405473.25,1674303510533.35,1712943205254.34,1789941336614.17,1830956870783.81,1851895411231.5,1754008958112.34,1843781208831.05,1911319060713.18,1980935468337.49,2007759156277.08,2064885601180.3,101719673,103067068,104355608,105640453,106995583,108472228,110092378,111836346,113661809,115505228,117318941,119090017,120828307,122535969,124221600
Nicaragua,17373017701.6415,17887405572.052,18022265688.1864,18476558875.2191,19458065188.9383,20291337042.8311,21063394946.3543,22132647020.7937,22893062122.8901,22139270242.6285,23115634004.1456,24575775913.5901,26172251873.4901,27461783341.8105,28775956053.9645,5026796,5100750,5171734,5240879,5309703,5379328,5450211,5522106,5594506,5666581,5737723,5807820,5877108,5945747,6013997
Panamá,32196795850.2512,32381693377.6066,33103529740.277,34495697280.6601,37090491258.8254,39757771912.8214,43197799530.0022,48374617538.9998,53142252879.4178,53802807000.1957,56938431091.9103,63380232184.5039,69578075874.6899,74381354357.5708,78149969739.2636,3030347,3089684,3149265,3209174,3269541,3330465,3391905,3453807,3516268,3579385,3643222,3707782,3772938,3838462,3903986
Paraguay,32265822175.3373,31996706533.9344,31989858606.8284,33372060396.3309,34726104772.5917,35466981414.1533,37171921863.8843,39187243129.5966,41679205776.947,40026335228.2801,45266984771.214,47232661525.6067,46647463724.8769,53195031260.9932,55707078172.8341,5302700,5406624,5508611,5607950,5703740,5795494,5882796,5966159,6047117,6127837,6209877,6293783,6379219,6465740,6552584
Perú,170086294377.68,171137244537.578,180470263692.452,187986891930.036,197307664032.792,209708569743.291,225497316246.004,244706052052.742,267039317031.152,269965597046.66,292460370024.879,310964900334.817,330057289146.432,349373952099.962,357675157113.873,25914879,26261363,26601467,26937738,27273194,27610410,27949944,28292724,28641980,29001507,29373646,29759989,30158966,30565716,30973354
Uruguay,42760248090.9754,41116488580.2307,37937358718.0211,38242862166.4545,40156596317.4643,43152331451.8578,44920963140.1066,47859472816.8147,51293937820.6379,53470593085.6858,57643122516.3077,60618737180.8227,62763536432.1202,65674219687.9447,67801270546.5163,3321245,3327103,3327773,3325637,3324096,3325612,3331043,3339741,3350824,3362755,3374415,3385624,3396777,3408005,3419546
Venezuela,352951994981.059,364932019037.874,332614926354.18,306819640805.661,362926541764.776,400372989517.047,439898408032.37,478405261853.999,503654793696.135,487526242853.028,480267994804.158,500326029131.469,528474156265.564,535572061140.563,514714815230.269,24488340,24948476,25408700,25868523,26327225,26784161,27239168,27691965,28141701,28587323,29028033,29463291,29893080,30317848,30738378
